"Subject"	"Block"	"Procedure.Block."	"Trial"	"condition"	"fontcolor"	"Word.ACC"	"Word.RT"	"Out"
107	2	"CongProc1"	2	"Cong"	"red"	1	881	0
107	2	"CongProc1"	7	"Cong"	"green"	1	616	0
107	2	"CongProc1"	8	"Cong"	"red"	1	586	0
107	2	"CongProc1"	9	"Cong"	"yellow"	1	623	0
107	2	"CongProc1"	15	"Cong"	"yellow"	1	731	0
107	2	"CongProc1"	17	"Cong"	"red"	1	768	0
107	2	"CongProc1"	18	"Cong"	"blue"	1	654	0
107	2	"CongProc1"	19	"Cong"	"green"	1	576	0
107	2	"CongProc1"	20	"Cong"	"yellow"	1	380	0
107	2	"CongProc1"	22	"Cong"	"red"	1	572	0
107	2	"CongProc1"	23	"Cong"	"green"	1	730	0
107	2	"CongProc1"	25	"Cong"	"yellow"	1	551	0
107	2	"CongProc1"	26	"Cong"	"blue"	1	533	0
107	2	"CongProc1"	27	"Cong"	"red"	1	748	0
107	2	"CongProc1"	28	"Cong"	"green"	1	594	0
107	2	"CongProc1"	29	"Cong"	"green"	1	478	0
107	2	"CongProc1"	30	"Cong"	"blue"	1	590	0
107	2	"CongProc1"	31	"Cong"	"yellow"	1	531	0
107	2	"CongProc1"	32	"Cong"	"red"	1	538	0
107	2	"CongProc1"	33	"Cong"	"yellow"	1	592	0
107	2	"CongProc1"	34	"Cong"	"red"	1	956	0
107	2	"CongProc1"	36	"Cong"	"green"	1	680	0
107	2	"CongProc1"	37	"Cong"	"red"	1	561	0
107	2	"CongProc1"	38	"Cong"	"yellow"	1	678	0
107	2	"CongProc1"	39	"Cong"	"blue"	1	807	0
107	2	"CongProc1"	41	"Cong"	"yellow"	1	696	0
107	2	"CongProc1"	44	"Cong"	"red"	1	508	0
107	2	"CongProc1"	45	"Cong"	"red"	1	531	0
107	2	"CongProc1"	46	"Cong"	"blue"	1	738	0
107	2	"CongProc1"	47	"Cong"	"green"	1	896	0
107	2	"CongProc1"	48	"Cong"	"yellow"	1	616	0
107	3	"CongProc2"	1	"Cong"	"red"	1	685	0
107	3	"CongProc2"	2	"Cong"	"blue"	1	862	0
107	3	"CongProc2"	3	"Cong"	"yellow"	1	583	0
107	3	"CongProc2"	4	"Cong"	"green"	1	420	0
107	3	"CongProc2"	5	"Cong"	"red"	1	559	0
107	3	"CongProc2"	6	"Cong"	"blue"	1	485	0
107	3	"CongProc2"	7	"Cong"	"green"	1	557	0
107	3	"CongProc2"	8	"Cong"	"yellow"	1	363	0
107	3	"CongProc2"	9	"Cong"	"red"	1	457	0
107	3	"CongProc2"	10	"Cong"	"blue"	1	387	0
107	3	"CongProc2"	11	"Cong"	"green"	1	455	0
107	3	"CongProc2"	12	"Cong"	"yellow"	1	321	0
107	3	"CongProc2"	16	"Cong"	"yellow"	1	639	0
107	3	"CongProc2"	17	"Cong"	"red"	1	545	0
107	3	"CongProc2"	18	"Cong"	"green"	1	727	0
107	3	"CongProc2"	19	"Cong"	"yellow"	1	486	0
107	3	"CongProc2"	20	"Cong"	"blue"	1	831	0
107	3	"CongProc2"	21	"Cong"	"red"	1	689	0
107	3	"CongProc2"	22	"Cong"	"blue"	1	730	0
107	3	"CongProc2"	24	"Cong"	"green"	1	756	0
107	3	"CongProc2"	25	"Cong"	"yellow"	1	633	0
107	3	"CongProc2"	26	"Cong"	"green"	1	540	0
107	3	"CongProc2"	27	"Cong"	"red"	1	667	0
107	3	"CongProc2"	28	"Cong"	"blue"	1	548	0
107	3	"CongProc2"	29	"Cong"	"green"	1	522	0
107	3	"CongProc2"	30	"Cong"	"yellow"	1	497	0
107	3	"CongProc2"	32	"Cong"	"red"	1	879	0
107	3	"CongProc2"	33	"Cong"	"yellow"	1	936	0
107	3	"CongProc2"	35	"Cong"	"blue"	1	491	0
107	3	"CongProc2"	36	"Cong"	"red"	1	707	0
107	3	"CongProc2"	37	"Cong"	"red"	1	459	0
107	3	"CongProc2"	38	"Cong"	"green"	1	596	0
107	3	"CongProc2"	39	"Cong"	"blue"	1	576	0
107	3	"CongProc2"	40	"Cong"	"yellow"	1	589	0
107	3	"CongProc2"	41	"Cong"	"green"	1	617	0
107	3	"CongProc2"	42	"Cong"	"yellow"	1	733	0
107	3	"CongProc2"	43	"Cong"	"red"	1	611	0
107	3	"CongProc2"	44	"Cong"	"blue"	1	479	0
107	3	"CongProc2"	45	"Cong"	"green"	1	775	0
107	3	"CongProc2"	46	"Cong"	"blue"	1	716	0
107	3	"CongProc2"	47	"Cong"	"yellow"	1	604	0
107	3	"CongProc2"	48	"Cong"	"red"	1	696	0
107	5	"IncongProc1"	2	"Incong"	"red"	1	734	0
107	5	"IncongProc1"	3	"Incong"	"blue"	1	1013	0
107	5	"IncongProc1"	4	"Incong"	"red"	1	848	0
107	5	"IncongProc1"	5	"Incong"	"yellow"	1	1570	0
107	5	"IncongProc1"	6	"Incong"	"yellow"	1	1136	0
107	5	"IncongProc1"	7	"Incong"	"red"	1	662	0
107	5	"IncongProc1"	8	"Incong"	"blue"	1	880	0
107	5	"IncongProc1"	9	"Incong"	"green"	1	1464	0
107	5	"IncongProc1"	10	"Incong"	"green"	1	586	0
107	5	"IncongProc1"	11	"Incong"	"yellow"	1	662	0
107	5	"IncongProc1"	12	"Incong"	"green"	1	1528	0
107	5	"IncongProc1"	13	"Incong"	"green"	1	1014	0
107	5	"IncongProc1"	14	"Incong"	"red"	1	1290	0
107	5	"IncongProc1"	15	"Incong"	"yellow"	1	1674	0
107	5	"IncongProc1"	16	"Incong"	"green"	1	858	0
107	5	"IncongProc1"	17	"Incong"	"blue"	1	644	0
107	5	"IncongProc1"	18	"Incong"	"yellow"	1	1342	0
107	5	"IncongProc1"	19	"Incong"	"blue"	1	844	0
107	5	"IncongProc1"	20	"Incong"	"green"	1	774	0
107	5	"IncongProc1"	21	"Incong"	"red"	1	651	0
107	5	"IncongProc1"	22	"Incong"	"blue"	1	917	0
107	5	"IncongProc1"	23	"Incong"	"red"	1	996	0
107	5	"IncongProc1"	24	"Incong"	"yellow"	1	817	0
107	5	"IncongProc1"	25	"Incong"	"yellow"	1	772	0
107	5	"IncongProc1"	26	"Incong"	"green"	1	697	0
107	5	"IncongProc1"	27	"Incong"	"blue"	1	1337	0
107	5	"IncongProc1"	29	"Incong"	"yellow"	1	565	0
107	5	"IncongProc1"	30	"Incong"	"green"	1	1139	0
107	5	"IncongProc1"	31	"Incong"	"green"	1	601	0
107	5	"IncongProc1"	32	"Incong"	"red"	1	1429	0
107	5	"IncongProc1"	33	"Incong"	"blue"	1	768	0
107	5	"IncongProc1"	34	"Incong"	"red"	1	797	0
107	5	"IncongProc1"	35	"Incong"	"blue"	1	649	0
107	5	"IncongProc1"	36	"Incong"	"red"	1	707	0
107	5	"IncongProc1"	37	"Incong"	"green"	1	683	0
107	5	"IncongProc1"	38	"Incong"	"red"	1	972	0
107	5	"IncongProc1"	39	"Incong"	"green"	1	937	0
107	5	"IncongProc1"	40	"Incong"	"yellow"	1	616	0
107	5	"IncongProc1"	41	"Incong"	"red"	1	995	0
107	5	"IncongProc1"	44	"Incong"	"blue"	1	1201	0
107	5	"IncongProc1"	45	"Incong"	"green"	1	909	0
107	5	"IncongProc1"	46	"Incong"	"blue"	1	741	0
107	5	"IncongProc1"	47	"Incong"	"yellow"	1	939	0
107	5	"IncongProc1"	48	"Incong"	"blue"	1	929	0
107	6	"IncongProc2"	1	"Incong"	"green"	1	1707	0
107	6	"IncongProc2"	2	"Incong"	"yellow"	1	947	0
107	6	"IncongProc2"	3	"Incong"	"yellow"	1	681	0
107	6	"IncongProc2"	4	"Incong"	"green"	1	745	0
107	6	"IncongProc2"	5	"Incong"	"red"	1	687	0
107	6	"IncongProc2"	6	"Incong"	"red"	1	904	0
107	6	"IncongProc2"	7	"Incong"	"yellow"	1	656	0
107	6	"IncongProc2"	8	"Incong"	"blue"	1	1209	0
107	6	"IncongProc2"	9	"Incong"	"blue"	1	589	0
107	6	"IncongProc2"	11	"Incong"	"blue"	1	833	0
107	6	"IncongProc2"	16	"Incong"	"blue"	1	1104	0
107	6	"IncongProc2"	17	"Incong"	"green"	1	1296	0
107	6	"IncongProc2"	18	"Incong"	"red"	1	736	0
107	6	"IncongProc2"	19	"Incong"	"red"	1	622	0
107	6	"IncongProc2"	20	"Incong"	"yellow"	1	617	0
