Subject	Acc	Trial
428	1	1.0
428	1	2.0
428	1	3.0
428	1	4.0
428	1	5.0
428	0	6.0
428	1	7.0
428	1	8.0
428	1	9.0
428	0	10.0
428	1	11.0
428	0	12.0
428	1	13.0
428	1	14.0
428	0	15.0
428	0	16.0
428	1	17.0
428	0	18.0
428	1	19.0
428	0	20.0
428	1	21.0
428	0	22.0
428	1	23.0
428	0	24.0
428	1	25.0
428	1	26.0
428	1	27.0
428	1	28.0
428	0	29.0
428	1	30.0
428	0	31.0
428	1	32.0
428	0	33.0
428	1	34.0
428	0	35.0
428	0	36.0
428	0	37.0
428	0	38.0
428	0	39.0
428	1	40.0
428	1	41.0
428	1	42.0
428	1	43.0
428	1	44.0
428	1	45.0
428	0	46.0
428	0	47.0
428	1	48.0
428	1	49.0
428	1	50.0
428	1	51.0
428	0	52.0
428	0	53.0
428	1	54.0
428	0	55.0
428	1	56.0
428	1	57.0
428	1	58.0
428	0	59.0
428	0	60.0
428	0	61.0
428	0	62.0
428	0	63.0
428	0	64.0
428	0	65.0
428	0	66.0
428	0	67.0
428	1	68.0
428	1	69.0
428	1	70.0
428	0	71.0
428	1	72.0
428	1	73.0
428	1	74.0
428	0	75.0
428	1	76.0
428	0	77.0
428	1	78.0
428	0	79.0
428	0	80.0
428	1	81.0
431	1	1.0
431	1	2.0
431	1	3.0
431	1	4.0
431	1	5.0
431	1	6.0
431	0	7.0
431	0	8.0
431	0	9.0
431	1	10.0
431	1	11.0
431	1	12.0
431	0	13.0
431	0	14.0
431	0	15.0
431	0	16.0
431	0	17.0
431	0	18.0
431	1	19.0
431	1	20.0
431	0	21.0
431	1	22.0
431	1	23.0
431	1	24.0
431	1	25.0
431	1	26.0
431	0	27.0
431	1	28.0
431	1	29.0
431	1	30.0
431	0	31.0
431	0	32.0
431	0	33.0
431	1	34.0
431	1	35.0
431	1	36.0
431	1	37.0
431	1	38.0
431	0	39.0
431	1	40.0
431	1	41.0
431	1	42.0
431	0	43.0
431	0	44.0
431	0	45.0
431	1	46.0
431	1	47.0
431	1	48.0
431	0	49.0
431	1	50.0
431	1	51.0
431	1	52.0
431	1	53.0
431	1	54.0
431	0	55.0
431	0	56.0
431	0	57.0
431	0	58.0
431	1	59.0
431	1	60.0
431	0	61.0
431	0	62.0
431	1	63.0
431	1	64.0
431	0	65.0
431	0	66.0
431	0	67.0
431	1	68.0
431	1	69.0
431	0	70.0
431	0	71.0
431	0	72.0
431	0	73.0
431	1	74.0
431	1	75.0
431	1	76.0
431	0	77.0
431	0	78.0
431	0	79.0
431	0	80.0
432	1	1.0
432	1	2.0
432	0	3.0
432	0	4.0
432	1	5.0
432	1	6.0
432	1	7.0
432	0	8.0
432	1	9.0
432	1	10.0
432	1	11.0
432	1	12.0
432	1	13.0
432	1	14.0
432	1	15.0
432	1	16.0
432	1	17.0
432	1	18.0
432	1	19.0
432	1	20.0
432	0	21.0
432	1	22.0
432	1	23.0
432	0	24.0
432	0	25.0
432	1	26.0
432	1	27.0
432	1	28.0
432	1	29.0
432	0	30.0
432	1	31.0
432	1	32.0
432	1	33.0
432	1	34.0
432	1	35.0
