Start_Date	k_value	ED50	Mood1	Subject	ED50_log	ED50_ord
21SEP17:14:13:00	0.023229526	43.04866084	.	1	3.7623311233	2
25SEP17:12:24:00	0.000279	3578.704514	.	2	8.1827561463	5
25SEP17:16:19:00	0.000279	3578.704514	.	3	8.1827561463	5
26SEP17:08:17:00	0.001117723	894.6761286	.	4	6.7964617853	4
26SEP17:12:17:00	0.013411573	74.56246777	.	5	4.3116372676	2
27SEP17:10:01:00	0.006705787	149.1249355	.	6	5.0047844479	3
27SEP17:14:01:00	0.006705787	149.1249355	.	7	5.0047844479	3
27SEP17:18:14:00	0.08247861	12.12435565	.	8	2.4952162931	1
28SEP17:13:34:00	0.009483414	105.4472532	.	9	4.6582108582	3
28SEP17:13:34:00	0.023229526	43.04866084	.	10	3.7623311233	2
28SEP17:15:36:00	0.009483414	105.4472532	.	11	4.6582108582	3
29SEP17:12:01:00	0.003353031	298.2376234	.	12	5.6978905627	3
29SEP17:12:02:00	0.023229526	43.04866084	.	13	3.7623311233	2
01OCT17:14:02:00	0.116642369	8.5732141	.	14	2.1486427031	1
02OCT17:09:34:00	0.00011	9131.25	.	15	9.1194578755	5
02OCT17:09:35:00	0.00011	9131.25	.	16	9.1194578755	5
02OCT17:11:59:00	0.001117723	894.6761286	.	17	6.7964617853	4
02OCT17:12:06:00	0.003353031	298.2376234	.	18	5.6978905627	3
02OCT17:14:06:00	0.039551962	25.283196	.	19	3.2301399853	1
02OCT17:14:06:00	0.000612	1633.447658	.	20	7.3984481877	4
02OCT17:16:00:00	0.004741707	210.8945063	.	21	5.3513580383	3
02OCT17:16:02:00	0.006705787	149.1249355	.	22	5.0047844479	3
02OCT17:18:11:00	0.013411573	74.56246777	.	23	4.3116372676	2
03OCT17:08:06:00	0.000612	1633.447658	.	24	7.3984481877	4
03OCT17:08:00:00	0.001117723	894.6761286	.	25	6.7964617853	4
03OCT17:10:03:00	0.006705787	149.1249355	9	26	5.0047844479	3
03OCT17:10:04:00	0.000612	1633.447658	.	27	7.3984481877	4
03OCT17:12:02:00	0.013411573	74.56246777	1	28	4.3116372676	2
03OCT17:12:04:00	0.023229526	43.04866084	6	29	3.7623311233	2
03OCT17:14:03:00	0.058321184	17.1464282	7	30	2.8417898837	1
03OCT17:16:00:00	0.00079	1265.263115	7	31	7.1430353756	4
03OCT17:16:01:00	0.013411573	74.56246777	6	32	4.3116372676	2
04OCT17:10:06:00	0.00079	1265.263115	7	33	7.1430353756	4
04OCT17:10:11:00	0.000129	7748.122555	4	34	8.955205842	5
04OCT17:12:02:00	0.023229526	43.04866084	.	35	3.7623311233	2
