Start Date,End Date,Response Type,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Distribution Channel,User Language,Subject Number:,"Overall, my mood is: - -10 represents ""very unpleasant"", and 10 represents ""very pleasant""",Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,Which would you rather have?,Timing - First Click,Timing - Last Click,Timing - Page Submit,Timing - Click Count,k value,ED50,Amount,Currency,Commodity
9/14/2017 14:22,9/14/2017 14:24,Survey Preview,100,115,TRUE,9/14/2017 14:24,R_3qlH0DVwBagqBKh,preview,EN,666,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in  3 weeks,9.211,9.211,10.851,1,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 2 years,14.751,14.751,15.719,1,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,5.177,5.177,6.153,1,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,27.507,27.507,28.371,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,15.467,15.467,16.362,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001117723,894.6761286,1000,$,
9/14/2017 14:30,9/14/2017 14:31,Survey Preview,100,48,TRUE,9/14/2017 14:31,R_2YLAe9ba5mJwT3a,preview,EN,667,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in  3 weeks,5.434,5.434,6.314,1,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 2 years,2.932,2.932,5.844,1,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,1.707,1.707,3.372,1,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,6.592,6.592,7.768,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,11.007,12.087,12.399,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001117723,894.6761286,1000,$,
9/14/2017 14:40,9/14/2017 14:41,IP Address,100,82,TRUE,9/14/2017 14:41,R_3ferdZcz0JqFzJ4,anonymous,EN,200,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in  3 weeks,5.668,5.668,7.514,1,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 2 years,5.465,5.465,9.039,1,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 8 years,3.93,3.93,5.02,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 18 years,2.698,2.698,7.283,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 25 years,3.633,3.633,8.653,1,,,,,,,,,,,,,,,,,,,,,,,,,,1.10E-04,9131.25,1000,$,
9/14/2017 14:47,9/14/2017 14:49,IP Address,100,122,TRUE,9/14/2017 14:49,R_2CrcWEd6yicqA3r,anonymous,EN,LR,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in  3 weeks,18.236,18.236,19.344,1,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,7.725,7.725,8.707,1,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 4 months,17.281,17.281,18.326,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,6.825,6.825,9.365,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 6 months,8.147,25.05,28.735,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004741707,210.8945063,1000,$,
9/14/2017 14:59,9/14/2017 15:00,IP Address,100,67,TRUE,9/14/2017 15:00,R_6JSlahNfhFk1fWN,anonymous,EN,XXX,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in  3 weeks,4.563,4.563,7.972,1,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,4.486,4.486,5.32,1,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 4 months,17.537,17.537,18.539,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,2.92,2.92,3.984,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,8.284,8.284,9.352,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006705787,149.1249355,1000,$,
9/14/2017 15:18,9/14/2017 15:19,IP Address,100,61,TRUE,9/14/2017 15:19,R_31zrmJUAULH8ZkV,anonymous,EN,14228104,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in  3 weeks,5.468,5.503,6.25,2,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,9.844,9.862,10.537,2,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,11.554,13.116,14.074,4,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 2 months,4.413,4.431,5.401,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,3.109,3.121,3.783,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013411573,74.56246777,1000,$,
9/15/2017 15:52,9/15/2017 15:53,IP Address,100,46,TRUE,9/15/2017 15:53,R_2rBzBhRonXMtCsx,anonymous,EN,me,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in  3 weeks,2.744,2.744,3.321,1,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 2 years,4.948,4.948,6.021,1,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,2.385,2.385,3.169,1,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 4 years,5.978,5.978,6.755,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,2.191,2.191,3.095,1,,,,,,,,,,,,,,,,,,,,,6.12E-04,1633.447658,1000,$,
9/21/2017 14:13,9/21/2017 14:14,IP Address,100,70,TRUE,9/21/2017 14:14,R_22mkibDPGdJLnEA,anonymous,EN,1,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in  3 weeks,19.603,19.603,20.656,1,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,4.917,6.288,7.38,4,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,14.186,14.186,15.214,1,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,5.28,5.28,6.083,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 1 month,5.928,5.928,6.707,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023229526,43.04866084,1000,$,
9/25/2017 12:24,9/25/2017 12:25,IP Address,100,71,TRUE,9/25/2017 12:25,R_1FCUdmWHeNuv2gU,anonymous,EN,2,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in  3 weeks,6.118,6.118,7.146,1,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 2 years,8.193,8.193,9.149,1,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 8 years,7.541,7.541,8.312,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,3.074,3.074,3.661,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,2.726,2.726,3.465,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.79E-04,3578.704514,1000,$,
9/25/2017 14:58,9/25/2017 15:00,IP Address,100,126,TRUE,9/25/2017 15:00,R_31pDHVIIU47nkIj,anonymous,EN,777,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in  3 weeks,12.705,12.705,13.844,1,,,,,,${e://Field/Currency}$e{ e://Field/Amount / 2 } ${e://Field/Commodity} now,14.472,14.472,15.332,1,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 4 months,3.257,3.257,4.108,1,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 8 months,4.483,4.483,5.91,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,${e://Field/Currency}${e://Field/Amount} ${e://Field/Commodity} in 1 year,2.811,2.811,9.549,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001935953,516.5415037,1000,$,
