"Subject"	"block"	"trial"	"stimulus"	"signal"	"correct"	"respons"	"rt"	"re"	"ssd"
1	0	0	2	0	2	2	985	0	0
1	0	1	1	0	2	1	486	0	0
1	0	2	1	1	2	0	0	0	150
1	0	3	1	1	2	0	0	0	200
1	0	4	2	1	0	2	460	0	250
1	0	5	2	0	2	2	497	0	0
1	0	6	2	1	0	2	381	0	200
1	0	7	1	0	2	1	954	0	0
1	0	8	1	0	2	1	503	8	0
1	0	9	2	0	2	2	532	0	0
1	0	10	2	1	2	0	0	0	150
1	0	11	1	1	2	0	0	0	200
1	0	12	1	0	2	1	570	0	0
1	0	13	2	1	2	0	0	0	250
1	0	14	1	0	2	1	515	0	0
1	0	15	1	0	2	1	528	0	0
1	0	16	2	1	2	0	0	0	300
1	0	17	1	0	2	1	497	0	0
1	0	18	1	0	2	1	574	0	0
1	0	19	2	0	2	2	778	0	0
1	0	20	1	0	2	1	527	8	0
1	0	21	1	0	2	1	420	0	0
1	0	22	1	1	0	1	417	0	350
1	0	23	2	0	2	2	741	9	0
1	0	24	1	0	2	1	458	0	0
1	0	25	1	0	2	1	543	0	0
1	0	26	1	0	2	1	443	0	0
1	0	27	1	1	0	1	384	0	300
1	0	28	2	0	2	2	669	0	0
1	0	29	2	0	2	2	801	0	0
1	0	30	1	0	2	1	422	0	0
1	0	31	1	1	2	0	0	0	250
1	0	32	1	0	2	1	615	0	0
1	0	33	2	0	2	2	620	9	0
1	0	34	1	0	2	1	649	0	0
1	0	35	1	1	2	0	0	0	300
1	0	36	1	0	2	1	474	0	0
1	0	37	2	1	2	0	0	0	350
1	0	38	2	1	2	0	0	0	400
1	0	39	2	0	2	2	744	0	0
1	0	40	1	0	2	1	757	0	0
1	0	41	2	1	2	0	0	0	450
1	0	42	1	1	0	1	438	0	500
1	0	43	1	0	2	1	699	0	0
1	0	44	2	0	2	2	632	0	0
1	0	45	2	0	2	2	764	0	0
1	0	46	2	0	2	2	793	0	0
1	0	47	2	0	2	2	670	0	0
1	0	48	1	0	2	1	914	0	0
1	0	49	2	0	2	2	679	0	0
1	0	50	1	0	2	1	676	0	0
1	0	51	2	0	2	2	801	0	0
1	0	52	2	0	2	2	629	0	0
1	0	53	1	0	2	1	714	0	0
1	0	54	2	0	2	2	911	0	0
1	0	55	2	0	2	2	827	8	0
1	0	56	2	0	2	2	776	8	0
1	0	57	2	0	2	2	885	8	0
1	0	58	1	0	2	1	1041	8	0
1	0	59	2	0	2	2	830	9	0
1	0	60	2	0	2	2	803	0	0
1	0	61	2	0	2	2	815	0	0
1	0	62	2	0	2	2	764	0	0
1	0	63	1	0	2	1	1001	0	0
1	1	0	1	0	2	1	1062	0	0
1	1	1	1	0	2	1	754	0	0
1	1	2	2	0	2	2	559	0	0
1	1	3	2	1	0	2	1036	0	450
1	1	4	2	0	2	2	968	0	0
1	1	5	2	0	2	2	533	0	0
1	1	6	1	1	2	0	0	0	400
1	1	7	1	0	2	1	854	-12	0
1	1	8	2	0	2	2	963	0	0
1	1	9	1	0	2	1	824	0	0
1	1	10	1	0	2	1	725	0	0
1	1	11	2	0	2	2	737	0	0
1	1	12	1	1	0	1	550	0	450
1	1	13	1	1	2	0	0	0	400
1	1	14	2	0	2	2	815	0	0
1	1	15	1	0	2	1	924	0	0
1	1	16	1	0	2	1	1017	8	0
1	1	17	1	1	2	0	0	0	450
1	1	18	1	0	2	1	754	-11	0
1	1	19	1	0	2	1	879	0	0
1	1	20	2	1	2	0	0	0	500
1	1	21	2	1	2	0	0	0	550
1	1	22	2	0	2	2	1053	0	0
1	1	23	2	0	2	2	682	0	0
1	1	24	1	0	2	1	982	0	0
1	1	25	1	0	2	1	971	0	0
1	1	26	2	0	2	2	1104	0	0
1	1	27	2	0	2	2	1052	0	0
1	1	28	2	0	2	2	937	0	0
1	1	29	2	1	2	0	0	0	600
1	1	30	1	0	2	1	930	0	0
1	1	31	2	0	2	2	1039	0	0
1	1	32	1	0	2	1	1092	0	0
1	1	33	1	0	2	1	928	0	0
1	1	34	2	0	2	2	933	0	0
1	1	35	2	1	2	0	0	0	650
1	1	36	2	1	2	0	0	0	700
1	1	37	1	0	2	1	1163	8	0
1	1	38	1	0	2	1	1064	0	0
1	1	39	2	0	2	2	749	9	0
1	1	40	1	1	0	1	881	0	750
1	1	41	2	0	2	2	486	0	0
1	1	42	2	0	2	2	907	0	0
1	1	43	2	0	2	2	1015	0	0
1	1	44	1	0	2	1	964	0	0
1	1	45	2	0	2	2	1193	0	0
1	1	46	2	0	2	2	1133	-12	0
1	1	47	1	0	2	1	930	0	0
1	1	48	2	0	2	2	599	0	0
1	1	49	1	1	2	0	0	0	700
1	1	50	1	0	2	1	536	0	0
1	1	51	1	0	2	1	1229	0	0
1	1	52	1	1	2	0	0	0	750
1	1	53	2	0	2	2	822	0	0
1	1	54	2	1	0	2	995	0	800
1	1	55	2	0	0	0	0	0	0
1	1	56	1	0	2	1	1124	0	0
1	1	57	1	0	2	1	937	0	0
1	1	58	2	0	2	2	870	0	0
1	1	59	1	0	2	1	842	0	0
1	1	60	1	0	2	1	615	0	0
1	1	61	2	1	0	2	908	0	750
1	1	62	2	0	2	2	1240	0	0
1	1	63	1	1	2	0	0	0	700
1	2	0	2	1	2	0	0	0	750
1	2	1	2	1	2	0	0	0	800
1	2	2	1	0	0	0	0	0	0
1	2	3	2	0	2	2	788	0	0
