Subject	Sex	Age	ReligionCat	ReligionDegree	PolDeg	PolCat	SESEduFath	SESEduMoth	SESFamInc	SESSelfRep	ACTTot	PFaTOverall	RelatEver	RelatQuant	RelatDur	RelatMar	RelatCurr	RelatDurCurr	CheatYN	WorkStat	NewsQuant	Race_cat	SES	UPPS	UPPS_NegUrg	UPPS_Prem	UPPS_Pers	UPPS_Sens	UPPS_PosUrg	DelGrat	BriefSC	SocDes	SchoolEng	RUN	SchoolEff	SchoolStrat	SchoolGPA	ExerciseReport	BMI	Fat	DietSingle	DietDys	Buy	FinWB	MoneyCons	CreditCard	Sleep	SexRisk	GamePathScore	PhoneTime	PhonePath	RelatAccNoLoy	RelatSat	WorkPres	WorkPresTot	WorkAbs1	WorkAbs2	WorkAbs3	WorkAbs4	LeisureTot	LeisureTot2	LeisureAwar	LeisureBor	LeisureChal	LeisureDist	AggTot	AggPhy	AggVerb	AggHost	AggAng	Smoking	DepTot	AnxTot	Hyg	NEOExt	NEOAgre	NEOCon	NEONeu	NEOOpen	Instr	Veg	Read	News	Lifesat	Meaning	Game	TV
1	1	19	7	4	1	2	0.6978771979	0.0863503803	-1.850123239	0.2426229113	23	2	5	5	6	6			6	2	2	other	-0.205818187	2.2372881356	1.4166666667	2.7272727273	2.5	1.8333333333	2.7142857143	2.3333333333	2	1.3636363636	3.8333333333		3.5	3.1111111111	3.9	-1.713665682	-18.5978836	5.5384615385	4	-2.25	2.8333333333	4	3.3333333333	5	1.4444444444	1.3	2.5555555556	-5	3.05	2.9166666667	1.4		3.8333333333	3	2	5	5	3.6315789474	3.4	2.6666666667	3	4.75	3	3	4	3.3333333333	2.3333333333	1.5	1	2.25	3.5714285714	0.0322907272	4.5	5.5	2.5	5	5	0	0	0	0	1	3	-3	-6
2	0	18	7	3	4		-1.449046836	-1.888914568	-1.850123239	-2.593673094	23	1	5	7	7	6	5	10	6	1	3	white	-1.945439434	3.275862069	3.4166666667	3.3636363636	3.4	2.1666666667	4	3.9166666667	3.7692307692	1.6060606061	3.6666666667		3.75	3.8888888889	3.7	-0.673706024	-20.22118627	3.8461538462	3	-1	5.6666666667	3.75	4.6666666667	3	3.5555555556	1.95	2.5555555556	-1	4.15	6.0833333333	7.2	3.6666666667	3.6666666667	5	3	4	5	5.7894736842	6	6.3333333333	6.8	4.75	6	4.0833333333	4.25	3.6666666667	3.6666666667	5	1	3.5	3.2857142857	-0.030920845	4.5	3.5	5.5	3	7	0	0	1	1	4.2	5.4	-5	-3
3	1	18	7	2	3	2	-0.375584819	0.0863503803	-1.006780844	0.2426229113	30	2	6							1	2	white	-0.263348093	3.2881355932	3.6666666667	3.7272727273	2.9	2.25	3.7857142857	4.5	3.8461538462	1.5757575758	4.5		3.25	3.1111111111	3.8	-0.673706024	-22.49458302	4.7692307692	4	-2	6.8333333333	4.125	6	5	3.7777777778	0		-4	4.2			4.1666666667	4.1666666667	5	3	5	5	3.6315789474	3.8666666667	5.3333333333	2.6	4.75	3.3333333333	4.9166666667	5	5	4.6666666667	5	1	3.625	3.1666666667	-0.429431501	2	5.5	6	3	5	0	0	1	1	4.4	3		-3
4	1	19	1	6	6	1	1.7713392151	0.7447720297	0.3987898148	0.2426229113	24	2	5	7	6	6	5	9	6	2	4	white	0.7893809927	1.6440677966	1.6666666667	2.1818181818	2.1	1.1666666667	1.2857142857	2.5833333333	1.4615384615	1.3333333333	3.8333333333		3	3.5555555556	3.6	1.1664441492	-19.73754883	5.6923076923	4	-5.285714286	2	4.375	2.8333333333	3	1.6666666667	3.2065	1.8888888889	-10	3	6.25	9		3.8333333333	4	1	3	5	4.3684210526	4.6666666667	4.3333333333	5	5.5	3.3333333333	2.5833333333	2.75	2.3333333333	3	2	1	2.625	2.4285714286	-1.087906306	5	3	4	3	3.5	0	0	1	1	3.6	3.8	-8	-2
5	1	18	1	6	2	2	-2.522508854	0.7447720297	-0.163438449	0.2426229113	23	2	6							2	4	other	-0.42463809	3.0169491525	2.6666666667	3.6363636364	3.2	2.25	3.3571428571	2.6666666667	3.5384615385	1.3333333333	4.6666666667		4.5	4.3333333333	3.2	0.4066951776	-29.26118626	4.6153846154	3	-2.25	4.8333333333	4	5	4.5	1.7777777778	0		-10	3.5									3.8947368421	3.9333333333	3.3333333333	5.2	3.75	2.6666666667	3.8333333333	3.25	3.6666666667	4.3333333333	4.5	1	3.625	4	0.0701357813	1.5	5.5	7	3	5.5	0	0	0	1	6.4	6.2		-3
6	1	18	1	6	4	3	-1.449046836	0.7447720297	0.1176756831	-0.46645109	25	2	5	8	6	6			6	2	3	white	-0.263262553	3.0689655172	3.0833333333	2.6363636364	3.4	2.2727272727	3.7857142857	3.7272727273	3.8333333333	1.5454545455	4.0833333333		4.75	4.3333333333	3.9	-0.113284651	-23.49075518	5.0769230769	3	-4.75	4.1666666667	4.5	3.6666666667	3	4.1111111111	1.15		-4.75	3.35	4.25	3.8		3.8333333333	5	2	4	5	4.6315789474	4.7333333333	6.3333333333	4.6	3.25	5.3333333333	3.9166666667	4.25	4.3333333333	2.3333333333	5	1	3.5	4	0.3339534639	7	5	6.5		5.5	0	1	0	0	5.75	7	-1	-5
7	1	19	7	2	3	2	-2.522508854	-3.205757867	-1.850123239	-1.884599092	21	1	5	6	5	6	5	5	6	2	4	other	-2.365747263	2.8813559322	2.5	3.2727272727	3	2.6666666667	3	3.0909090909	3.4545454545	1.3636363636	3.5833333333		2	1.3333333333	3.6	-0.393495338	-26.25952148	4.8461538462	1	-3.875	5	2	2.3333333333	4	3.2222222222	0.85		-15	2.85	5.8333333333	5.4							3.8421052632	3.8666666667	4	4.4	4	2.6666666667	4.5833333333	4.5	5	4	5	1	4	4	-0.936973376	2	5	4	5.5	4	0	0	0	1	3.2	3.8	-2	-7
8	0	19	1	6	3	2	-1.449046836	1.4031936791	-0.44455258	0.9516969125	24	1	6							2	1	other	0.1153227937	2.5423728814	2.5	2.8181818182	1.6	2.0833333333	3.4285714286	3.75	2.9230769231	1.3939393939	3.8333333333		2.75	3.1111111111	3.66	-1.713665682	-20.98025712	3.6153846154	1	-2.375	6	2.25	2.1666666667	3	1.4444444444	0	1.4444444444	-3.75	3.6				3	1	5	5	5	4.8421052632	4.7333333333	3	5.6	3.25	7	4.3333333333	5	3.6666666667	3.6666666667	5	1	3.25	3.5714285714	-0.532237072	6.5	4	1.5	2	4.5	0	0	0	0	6.6	1	-5	-7
9	0	18	1	4	3		0.1611461893	1.4031936791	0.1176756831	0.9516969125	31	2	5	6	5	6			5	2	2	white	0.658428116	2.186440678	1.9166666667	2.2727272727	2.9	1.1666666667	2.7142857143	2.9166666667	2.3076923077	1.4242424242	4.5		4.5	4	4.67	0.6464643203	-23.92060492	5.5384615385	4	-4.625	4.6666666667	4.75	2.6666666667	5	1.8888888889	0.55	2.3333333333	-3	3.5	3.8333333333	5.4							4.2631578947	4.2666666667	5.6666666667	3	6.25	2.3333333333	2.4545454545	3.3333333333	2.3333333333	1.6666666667	2.5	1	2.75	3.1428571429	-0.305145364	6.5		3	3.5	7	1	0	0	0	4.4	2.2	-5	-4
10	1	18	1	3	4	1	0.1611461893	0.0863503803	-1.006780844	0.2426229113	26	2	5	5	9	6			6	2	3	white	-0.129165341	3.0172413793	2.8333333333	3.8181818182	3.6	2.3636363636	2.6428571429	4.0833333333	3.6923076923	1.7878787879	3.9166666667		4.75	4.5555555556	4	1.4062132919	-22.46272189	5.4615384615	3	-3.5	5.3333333333	4.375	5.1666666667	4.5	2.7777777778	0.5263157895		-2.366666667	3.9	5.8333333333	8.2		4.3333333333	4	5	5	5	5	4.9333333333	6	5.6	4	4	4.9166666667	5	5	4.6666666667	5	1	3.75	3.5714285714	0.3586194084	4.5	5.5	6	2	5.5	0	0	0	1	6.2	6.6		-3
