StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Subject,Mood2_1,RavenInstTimeDelay_First Click,RavenInstTimeDelay_Last Click,RavenInstTimeDelay_Page Submit,RavenInstTimeDelay_Click Count,RavenRespD1,RavenRespD2,RavenRespD3,RavenRespD4,RavenRespD5,RavenRespD6,RavenRespD7,RavenRespD8,RavenRespD9,RavenRespD10,RavenRespD11,RavenRespD12,RavenRespE1,RavenRespE2,RavenRespE3,RavenRespE4,RavenRespE5,RavenRespE6,RavenRespE7,RavenRespE8,RavenRespE9,RavenRespE10,RavenRespE11,RavenRespE12,RavenTimeCutoff_First Click,RavenTimeCutoff_Last Click,RavenTimeCutoff_Page Submit,RavenTimeCutoff_Click Count,Subject - Topics
9/14/2017 17:13,9/14/2017 17:24,Survey Preview,,100,636,TRUE,9/14/2017 17:24,R_2c5D1HiAdIr2YwH,,,,,38.95170593,-92.33409882,preview,EN,,,0,0,33.359,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,600.006,0,
9/20/2017 12:03,9/20/2017 12:14,IP Address,128.206.28.32,100,691,TRUE,9/20/2017 12:14,R_8erk7UZZ2PcFYWZ,,,,,38.95170593,-92.33409882,anonymous,EN,,,75.686,75.686,88.633,1,3,4,3,7,8,6,5,4,1,,5,8,7,,8,2,7,7,8,7,5,,,,2.491,574.177,600.007,33,
9/20/2017 12:16,9/20/2017 12:26,IP Address,128.206.28.32,100,615,TRUE,9/20/2017 12:26,R_10pYKkD1VTXPCgB,,,,,38.95170593,-92.33409882,anonymous,EN,,,12.361,12.361,12.782,1,,,,,,,,,,,,,,,,,,,,,,,,,0,0,600.229,0,
9/21/2017 15:10,9/21/2017 15:16,IP Address,128.206.28.32,100,377,TRUE,9/21/2017 15:16,R_2D0qUsxVcwy6o73,,,,,38.95170593,-92.33409882,anonymous,EN,1,,0,0,39.775,0,3,4,3,7,8,6,8,2,5,5,3,2,7,4,8,6,2,7,8,2,4,6,7,7,2.316,331.26,331.794,32,Unknown
9/25/2017 13:15,9/25/2017 13:27,IP Address,128.206.28.32,100,679,TRUE,9/25/2017 13:27,R_3Oq30VvhkouITjf,,,,,38.95170593,-92.33409882,anonymous,EN,2,,0,0,91.545,0,3,4,3,7,8,6,2,4,3,2,4,8,7,6,8,4,7,7,4,2,3,7,6,7,3.663,579.308,580.298,34,Unknown
9/25/2017 15:14,9/25/2017 17:19,IP Address,128.206.28.32,100,7493,TRUE,9/25/2017 17:19,R_1jBNxxPf3EgQRg8,,,,,38.95170593,-92.33409882,anonymous,EN,777,,87.655,87.655,104.389,1,3,2,3,7,8,6,5,4,3,5,3,4,7,3,1,2,1,5,7,5,2,5,8,6,1.932,342.028,344.185,32,Unknown
9/26/2017 9:10,9/26/2017 9:18,IP Address,128.206.28.32,100,529,TRUE,9/26/2017 9:18,R_20Nz3sGHN5lDsvp,,,,,38.95170593,-92.33409882,anonymous,EN,4,,0,0,71.001,0,3,3,3,8,8,6,5,4,1,2,6,7,7,6,8,2,1,8,3,5,1,3,5,5,1.606,447.749,448.826,30,Unknown
9/26/2017 13:11,9/26/2017 13:18,IP Address,128.206.28.32,100,438,TRUE,9/26/2017 13:18,R_2CxkClqvC4dYGvR,,,,,38.95170593,-92.33409882,anonymous,EN,5,,0,0,75.44,0,3,4,3,7,8,6,5,4,1,2,5,2,3,6,8,2,1,5,1,1,3,2,7,2,1.848,355.576,357.927,29,Unknown
9/27/2017 10:50,9/27/2017 10:58,IP Address,128.206.28.1,100,465,TRUE,9/27/2017 10:58,R_BzdylQYCNS05TcR,,,,,38.95170593,-92.33409882,anonymous,EN,6,,28.602,31.89,32.541,3,3,4,3,7,8,6,5,1,1,2,2,6,7,6,2,2,1,5,6,7,8,7,5,7,3.104,422.795,423.722,27,Unknown
9/27/2017 14:17,9/27/2017 14:20,IP Address,128.206.28.1,100,191,TRUE,9/27/2017 14:20,R_2A1hgOJtTzV3Usq,,,,,38.95170593,-92.33409882,anonymous,EN,666,,0,0,28.195,0,3,4,3,7,,,,,,,,,,,,,,,,,,,,5,11.47,126.879,152.157,7,Unknown
9/27/2017 14:20,9/27/2017 14:21,IP Address,128.206.28.1,100,37,TRUE,9/27/2017 14:21,R_1CyJPqVE1vmYkl5,,,,,38.95170593,-92.33409882,anonymous,EN,667,,18.687,18.687,19.223,1,,,,,,,,,,,,,,,,,,,,,,,,,0.691,0.691,1.537,1,Unknown
9/26/2017 16:23,9/27/2017 15:00,IP Address,128.206.28.32,100,81445,TRUE,9/27/2017 15:00,R_2Cx1E7oiVj30yX6,,,,,38.95170593,-92.33409882,anonymous,EN,666,,0,0,21.944,0,,,,,,,,,,,,,,,,,,,,,,,,,22.729,76.087,76.791,4,Unknown
9/27/2017 15:00,9/27/2017 15:11,IP Address,128.206.28.32,100,668,TRUE,9/27/2017 15:11,R_3oBMxj4haRsmikC,,,,,38.95170593,-92.33409882,anonymous,EN,7,,58.826,58.826,60.474,1,3,2,4,7,8,6,5,4,1,2,3,5,7,3,8,3,1,5,4,1,7,,,,3.407,564.316,600.005,22,Unknown
9/27/2017 18:32,9/27/2017 18:33,IP Address,128.206.28.1,100,60,TRUE,9/27/2017 18:33,R_2eQOqAuTKuw9LnC,,,,,38.95170593,-92.33409882,anonymous,EN,777,,0,0,28.825,0,,,,,,,,,,,,,,,,,,,,,,,,,6.491,19.355,21.121,2,Unknown
9/27/2017 18:34,9/27/2017 18:34,IP Address,128.206.28.1,100,32,TRUE,9/27/2017 18:34,R_ptuqLxU6g5DJ3IR,,,,,38.95170593,-92.33409882,anonymous,EN,777,,0,0,14.838,0,,,,,,,,,,,,,,,,,,,,,,,,,2.143,3.328,3.629,2,Unknown
9/27/2017 19:00,9/27/2017 19:11,IP Address,128.206.28.32,100,656,TRUE,9/27/2017 19:11,R_1DUshR3tqI6pCjX,,,,,38.95170593,-92.33409882,anonymous,EN,8,,0,0,50.764,0,3,4,3,7,8,6,5,4,1,2,5,5,7,6,8,4,1,5,1,6,5,1,6,,17.518,598.259,600.008,35,Unknown
9/28/2017 14:25,9/28/2017 14:32,IP Address,128.206.28.32,100,428,TRUE,9/28/2017 14:32,R_uxFAQp8L1cv8TmN,,,,,38.95170593,-92.33409882,anonymous,EN,9,,35.693,37.781,38.737,3,3,4,3,7,8,6,5,4,1,2,3,4,7,6,8,2,1,5,5,6,3,2,5,7,1.771,379.099,380.017,30,Unknown
9/28/2017 14:31,9/28/2017 14:39,IP Address,128.206.28.1,100,477,TRUE,9/28/2017 14:39,R_2qC3j30dBzDIM9v,,,,,38.95170593,-92.33409882,anonymous,EN,10,,0,0,59.979,0,3,4,3,2,8,6,5,4,1,2,7,7,7,6,8,3,7,4,6,8,8,6,6,2,3.352,400.923,404.81,35,Unknown
9/28/2017 16:38,9/28/2017 16:49,IP Address,128.206.28.32,100,708,TRUE,9/28/2017 16:49,R_2qpHCsgXMeb3OPb,,,,,38.95170593,-92.33409882,anonymous,EN,11,,0,0,96.861,0,3,4,3,7,8,6,5,4,1,2,,,7,6,8,2,1,5,,,,,,,3.179,530.021,600.007,19,Unknown
9/29/2017 12:50,9/29/2017 12:58,IP Address,128.206.28.32,100,510,TRUE,9/29/2017 12:58,R_30jGV0Nngt55fyK,,,,,38.95170593,-92.33409882,anonymous,EN,12,,71.191,71.191,73.339,1,3,4,3,7,8,6,5,4,1,3,5,1,7,3,2,3,1,5,4,6,3,2,4,2,2.956,427.169,428.606,34,Unknown
9/29/2017 12:52,9/29/2017 13:02,IP Address,128.206.28.1,100,565,TRUE,9/29/2017 13:02,R_3D1tiipRGWLMZWj,,,,,38.95170593,-92.33409882,anonymous,EN,13,,85.775,85.775,87.93,1,3,4,3,7,8,6,5,4,1,2,5,5,7,6,8,2,1,5,1,6,3,6,8,2,2.082,467.603,469.537,29,Unknown
10/1/2017 14:52,10/1/2017 15:03,IP Address,128.206.28.32,100,639,TRUE,10/1/2017 15:03,R_2fbg1t00wTGE9rz,,,,,38.95170593,-92.33409882,anonymous,EN,14,,0,0,33.731,0,3,4,3,7,8,5,5,4,1,2,4,7,7,6,8,2,1,5,6,6,5,7,,,4.247,599.057,600.006,31,Unknown
10/2/2017 10:25,10/2/2017 10:36,IP Address,128.206.28.32,100,676,TRUE,10/2/2017 10:36,R_vGoT7bZkcPqVbjj,,,,,38.95170593,-92.33409882,anonymous,EN,15,,0,0,66.597,0,3,4,3,7,8,6,5,4,1,2,6,7,7,6,8,3,7,5,8,7,4,2,4,4,9.132,595.627,600.006,32,
10/2/2017 10:31,10/2/2017 10:40,IP Address,128.206.28.1,100,533,TRUE,10/2/2017 10:40,R_PUGQtVwF0R1BcCB,,,,,38.95170593,-92.33409882,anonymous,EN,16,,25.257,25.257,27.292,1,3,4,3,7,8,6,5,4,1,2,7,8,7,6,8,2,1,5,1,6,3,2,5,2,1.882,492.445,493.563,30,
10/2/2017 12:49,10/2/2017 12:57,IP Address,128.206.28.32,100,486,TRUE,10/2/2017 12:57,R_28BZcwhi6cTurG2,,,,,38.95170593,-92.33409882,anonymous,EN,17,,29.346,36.597,49.072,7,3,4,3,7,8,6,5,4,1,2,5,7,3,6,8,2,1,5,1,6,3,2,4,5,10.273,417.67,418.54,29,
10/2/2017 13:00,10/2/2017 13:12,IP Address,128.206.28.1,100,687,TRUE,10/2/2017 13:12,R_3G8GFqXyf8F2VCk,,,,,38.95170593,-92.33409882,anonymous,EN,18,,58.496,59.515,71.579,3,3,4,3,7,8,6,5,4,1,2,5,8,7,6,8,2,1,5,,,,,,,2.381,496.904,600.009,25,
10/2/2017 15:00,10/2/2017 15:07,IP Address,128.206.28.32,100,438,TRUE,10/2/2017 15:07,R_1HkLI55HoaM3Cke,,,,,38.95170593,-92.33409882,anonymous,EN,19,,34.22,38.827,42.025,2,3,4,3,7,8,6,4,4,1,1,3,8,7,6,8,2,7,5,4,6,3,3,5,7,2.966,387.432,387.951,39,
10/2/2017 15:02,10/2/2017 15:11,IP Address,128.206.28.1,100,568,TRUE,10/2/2017 15:11,R_ey9ZKm5RYQBf161,,,,,38.95170593,-92.33409882,anonymous,EN,20,,0,0,69.998,0,3,4,3,8,8,6,4,4,1,2,5,8,7,6,8,3,7,2,5,6,4,7,7,7,11.623,485.074,488.551,31,
10/2/2017 16:49,10/2/2017 16:57,IP Address,128.206.28.32,100,474,TRUE,10/2/2017 16:57,R_26g7Q4EfaW5xNAG,,,,,38.95170593,-92.33409882,anonymous,EN,21,,30.495,30.495,36.788,1,3,4,3,7,8,6,5,4,1,2,8,5,7,6,8,2,1,5,3,1,7,2,3,2,3.607,429.282,430.168,25,
10/2/2017 16:49,10/2/2017 17:00,IP Address,128.206.28.1,100,654,TRUE,10/2/2017 17:00,R_ZfnvKTIlg7vd50l,,,,,38.95170593,-92.33409882,anonymous,EN,22,,95.744,95.744,97.997,1,3,4,4,7,8,6,5,4,1,2,5,7,7,6,8,2,1,4,1,8,7,6,7,8,11.001,547.885,549.059,39,
10/2/2017 19:02,10/2/2017 19:11,IP Address,128.206.28.32,100,509,TRUE,10/2/2017 19:11,R_1CgBN6aQnxqbe76,,,,,38.95170593,-92.33409882,anonymous,EN,23,,66.693,66.693,75.722,1,3,4,3,7,8,6,5,4,1,2,8,6,7,6,8,2,1,5,1,6,3,6,3,1,2.529,425.701,427.403,25,
10/3/2017 8:57,10/3/2017 9:03,IP Address,128.206.28.32,100,342,TRUE,10/3/2017 9:03,R_sMPwscFVZPdvy6t,,,,,38.95170593,-92.33409882,anonymous,EN,24,-2,31.717,31.717,44.073,1,3,4,3,7,8,6,5,4,1,2,5,4,7,6,8,2,1,5,4,7,4,2,5,3,1.709,273.623,275.022,34,
10/3/2017 8:56,10/3/2017 9:05,IP Address,128.206.28.1,100,550,TRUE,10/3/2017 9:05,R_3JvZzS1qfFiI50O,,,,,38.95170593,-92.33409882,anonymous,EN,25,-5,0,0,19.173,0,3,4,3,7,8,6,4,4,1,,,5,7,3,5,2,1,5,1,8,3,6,7,1,1.93,504.909,505.939,29,
