Subject	RavenScore	Mood2	RavenTime	RavenRatio_win	Raven_res
1	8		331.794	0.0241113462	-1.180597466
2	12		580.298	0.0206790304	-1.18790833
4	14		448.826	0.0311924888	-0.208380971
5	19		357.927	0.05308345	1.3262401395
6	15		423.722	0.0354005692	0.1251647429
7	12		600.005	0.0199998333	-1.263675889
8	18		600.008	0.0299996	0.1584823365
9	19		380.017	0.0499977633	1.2413106536
10	12		404.81	0.0296435365	-0.513209116
11	16		600.007	0.0266663556	-0.315570405
12	17		428.606	0.0396634671	0.5804438006
13	20		469.537	0.0425951522	1.134161148
14	16		600.006	0.0266664	-0.315566561
15	16		600.006	0.0266664	-0.315566561
16	20		493.563	0.0405216761	1.0417883174
17	22		418.54	0.0525636737	1.8042860454
18	17		600.009	0.0283329083	-0.078549801
19	15		387.951	0.0386646767	0.2626936084
20	13		488.551	0.0266092997	-0.598140084
21	17		430.168	0.0395194436	0.5744383748
22	16		549.059	0.0291407663	-0.119690485
23	20		427.403	0.0467942434	1.2961538577
24	18	-	275.022	0.0654493095	1.4079569358
25	14	-	505.939	0.0276713201	-0.427963484
26	12	8	454.955	0.026376235	-0.706001741
27	15	-	435.727	0.034425225	0.0790090852
28	15	9	395.925	0.0378859633	0.2320359479
29	16	6	600.01	0.0266662222	-0.315581939
30	14	6	296.104	0.0472806852	0.3787897376
31	12	7	387.715	0.0309505694	-0.447483921
32	18	4	391.809	0.0459407517	0.9589456244
33	20	7	500.602	0.0399518979	1.014725454
34	1		264.983	0.003773827	-2.582927077
35	21	-	600.006	0.03499965	0.8695749055
36	21	9	542.25	0.0387275242	1.0916295631
37	15		537.371	0.027913676	-0.311781891
38	14	6	600.006	0.0233331	-0.789623147
39	14	-	600.005	0.0233331389	-0.789619302
40	12	8	415.627	0.0288720415	-0.554797267
41	17	6	600.01	0.0283328611	-0.078553646
42	13	4	456.368	0.0284857834	-0.474406013
43	15	-	430.644	0.0348315546	0.0985517098
44	7	-	172.405	0.0406020707	-0.804822417
45	17	7	444.846	0.0382154723	0.5180058264
46	15	5	397.716	0.0377153547	0.2251500851
47	17	8	369.536	0.046003637	0.8075503978
48	16	2	349.983	0.0457165062	0.6456975793
49	15	6	492.981	0.0304271361	-0.141115532
50	19	7	368.284	0.0515906203	1.2864205521
51	10		515.055	0.0194154022	-1.411124968
52	10	-	509.137	0.0196410789	-1.388372017
53	19	8	500.423	0.0379678792	0.7783853627
54	17	6	429.519	0.0395791572	0.5769335869
55	19	6	600.016	0.0316658222	0.3954798721
56	15	0	447.535	0.0335169316	0.033610834
57	18	9	563.142	0.031963519	0.3002211516
58	12	-	330.379	0.0363219212	-0.227044039
59	15	2	600.006	0.02499975	-0.552594854
60	16	8	405.354	0.0394716717	0.432812538
61	18	8	500.655	0.0359529017	0.5404650984
62	18	6	362.841	0.0496085062	1.0703189765
63	10	-	196.803	0.0508122336	-0.187540598
64	10	5	556.446	0.0179711958	-1.570261064
65	15	8	403.456	0.0371787754	0.2030814908
66	16	7	600.006	0.0266664	-0.315566561
67	13	-	432.149	0.030082217	-0.381291154
68	18	6	392.43	0.0458680529	0.956558064
69	18	7	382.779	0.0470245233	0.9936632911
70	15	7	369.903	0.0405511715	0.3320828054
71	18	6	496.005	0.0362899568	0.5583429666
72	13	-	289.494	0.0449059393	0.1671749302
73	17	9	424.222	0.0400733578	0.5972989779
74	17	8	454.812	0.0373780815	0.4796895178
